CLIENTID;CREATEDDATE;STEPID
IDE-02585516;2019-02-27 00:00;registro
IDE-02585517;2019-02-27 00:00;identificacion-iban
IDE-02585518;2019-02-27 00:00;registro
IDE-02585519;2019-02-27 00:00;previa-firma
IDE-02585520;2019-02-27 00:00;datos-personal
IDE-02585521;2019-02-27 00:00;datos-contacto
IDE-02585523;2019-02-27 00:00;confirmacion-datos
IDE-02585524;2019-02-27 00:00;registro
IDE-02585525;2019-02-27 00:00;registro
IDE-02585526;2019-02-27 00:00;confirmacion-otp-primer-paso
IDE-02585528;2019-02-27 00:00;contratacion-ci
IDE-02585529;2019-02-27 00:00;registro
IDE-02585530;2019-02-27 00:00;identificacion-iban
IDE-02585531;2019-02-27 00:00;metodo-validacion
IDE-02585532;2019-02-27 00:00;datos-laboral
IDE-02585533;2019-02-27 00:00;contratacion-ci
IDE-02585534;2019-02-27 00:00;registro
IDE-02585535;2019-02-27 00:00;datos-laboral
IDE-02585536;2019-02-27 00:00;contratacion-ci
IDE-02585537;2019-02-27 00:00;datos-contacto
IDE-02585538;2019-02-27 00:00;registro
IDE-02585539;2019-02-27 00:00;confirmacion-datos
IDE-02585540;2019-02-27 00:00;confirmacion-datos
IDE-02585541;2019-02-27 00:00;datos-contacto
IDE-02585542;2019-02-27 00:00;registro
IDE-02585543;2019-02-27 00:00;proceso-firma
IDE-02585544;2019-02-27 00:00;identificacion-iban
IDE-02585546;2019-02-27 00:00;registro
IDE-02585547;2019-02-27 00:00;datos-personal
IDE-02585548;2019-02-27 00:00;confirmacion-otp-primer-paso
IDE-02585549;2019-02-27 00:00;datos-personal
IDE-02585550;2019-02-27 00:00;identificacion-iban
IDE-02585551;2019-02-27 00:00;casi-lo-tenemos
IDE-02585552;2019-02-27 00:00;identificacion-iban
IDE-02585553;2019-02-27 00:00;confirmacion-datos
IDE-02585554;2019-02-27 00:00;registro
IDE-02585555;2019-02-27 00:00;registro
IDE-02585556;2019-02-27 00:00;datos-laboral
IDE-02585557;2019-02-27 00:00;datos-personal
IDE-02585558;2019-02-27 00:00;registro
IDE-02585559;2019-02-27 00:00;datos-personal
IDE-02585560;2019-02-27 00:00;datos-personal
IDE-02585561;2019-02-27 00:00;registro
IDE-02585562;2019-02-27 00:00;registro
IDE-02585563;2019-02-27 00:00;contratacion-ci
IDE-02585564;2019-02-27 00:00;datos-laboral
IDE-02585565;2019-02-27 00:00;identificacion-iban
IDE-02585567;2019-02-27 00:00;datos-personal
IDE-02585569;2019-02-27 00:00;registro
IDE-02585570;2019-02-27 00:00;registro
IDE-02585572;2019-02-27 00:00;confirmacion-datos
IDE-02585573;2019-02-27 00:00;registro
IDE-02585574;2019-02-27 00:00;registro
IDE-02585575;2019-02-27 00:00;datos-contacto
IDE-02585576;2019-02-27 00:00;registro
IDE-02585577;2019-02-27 00:00;identificacion-iban
